Geneid	R4C-rep1	R4C-rep2	R4C-rep3	R4S-rep1	R4S-rep2	R4S-rep3	ROP2-rep1	ROW2-rep1
gene:Solyc12g100367.1	0	0	0	0	0	0	0	0
gene:Solyc12g100363.1	0	0	0	0	0	0	0	0
gene:Solyc12g100360.1	7600	8078	7950	7651	7107	7268	5966	13358
gene:Solyc12g100340.1	0	0	0	0	0	0	0	0
gene:Solyc12g100330.2	4792	6803	3788	8278	10648	10408	3980	8024
gene:Solyc12g100320.2	338	412	306	427	331	365	818	736
gene:Solyc12g100310.2	5775	6028	5278	5963	5647	6075	5883	8068
gene:Solyc12g100300.2	0	0	0	0	2	2	0	2
gene:Solyc12g100290.3	669	724	826	739	621	616	728	1060
gene:Solyc12g100280.3	221	247	207	131	93	98	0	0
gene:Solyc12g100270.2	24	13	36	36	20	14	0	28
gene:Solyc12g100260.1	4	0	6	3	2	4	0	15
gene:Solyc12g100250.3	0	0	0	0	0	0	0	14
gene:Solyc12g100240.1	9	6	1	2	6	11	0	15
gene:Solyc12g100230.1	0	0	0	0	0	0	0	4
gene:Solyc12g100220.2	8	12	2	8	14	30	21	12
gene:Solyc12g100210.1	0	0	0	2	3	9	2	4
gene:Solyc12g100200.2	566	684	924	1186	962	1010	1162	892
gene:Solyc12g100190.2	132	103	103	114	92	90	22	61
gene:Solyc12g100180.2	1574	1810	1959	1482	1284	1244	336	626
gene:Solyc12g100170.1	12	14	25	14	10	6	32	68
gene:Solyc12g100160.3	7008	6396	6479	5794	6570	7303	2893	1647
gene:Solyc12g100150.2	22	28	2	15	16	8	74	30
gene:Solyc12g100140.3	1706	1624	1826	1793	1791	2036	2101	1005
gene:Solyc12g100130.1	1117	1050	1194	864	868	981	598	974
gene:Solyc12g100120.2	4087	4223	5338	5748	5255	4607	2570	1844
gene:Solyc12g100110.1	0	0	0	0	0	0	0	0
gene:Solyc12g100100.1	0	0	0	0	0	0	0	0
gene:Solyc12g100090.1	0	0	0	0	0	0	0	0
gene:Solyc12g100080.1	5	4	7	2	8	17	0	2
gene:Solyc12g100070.3	246	263	313	285	196	197	545	448
gene:Solyc12g100060.1	3456	3412	4329	3711	3199	3112	13089	9370
gene:Solyc12g100050.2	491	503	466	621	540	487	1229	1153
gene:Solyc12g100040.2	558	626	686	753	660	586	1540	1853
gene:Solyc12g100030.2	18	6	6	86	36	46	2	0
gene:Solyc12g100020.1	0	0	0	0	0	0	8	6
gene:Solyc12g100010.1	16	10	0	6	22	17	3	9
gene:Solyc12g100000.3	2438	2529	2618	2611	2269	2685	3514	4639
gene:Solyc12g099990.2	1969	2562	2545	1775	2058	2068	3025	1963
gene:Solyc12g099980.3	53	52	49	14	20	18	51	54
gene:Solyc12g099970.2	1282	1318	1871	2548	1948	1767	4018	3791
gene:Solyc12g099960.1	388	357	339	593	513	531	676	1205
gene:Solyc12g099950.3	4	3	4	6	2	6	8	2
gene:Solyc12g099940.2	595	583	900	757	800	836	2205	1677
gene:Solyc12g099930.2	3643	2819	5397	7193	3876	2854	14	23
